trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
22510004000575,18:57:00,18:57:00,740012548,18,0,0
22510004000775,18:57:00,18:57:00,740012548,18,0,0
22510004000577,19:18:00,19:18:00,740012548,18,0,0
22510004000777,19:18:00,19:18:00,740012548,18,0,0
22510004000811,0:57:00,0:57:00,740012548,18,0,0
22510004000813,1:37:00,1:37:00,740012548,18,0,0
22510004000815,2:41:00,2:41:00,740012548,18,0,0
22510004000579,19:36:00,19:36:00,740012548,18,0,0
22510004000581,19:56:00,19:56:00,740012548,18,0,0
22510004000583,20:16:00,20:16:00,740012548,18,0,0
22510004000585,20:36:00,20:36:00,740012548,18,0,0
22510004000587,20:56:00,20:56:00,740012548,18,0,0
22510004000589,21:16:00,21:16:00,740012548,18,0,0
22510004000591,21:36:00,21:36:00,740012548,18,0,0
22510004000593,21:56:00,21:56:00,740012548,18,0,0
22510004000595,22:16:00,22:16:00,740012548,18,0,0
22510004000597,22:36:00,22:36:00,740012548,18,0,0
22510004000599,22:56:00,22:56:00,740012548,18,0,0
22510004000601,23:16:00,23:16:00,740012548,18,0,0
22510004000603,23:36:00,23:36:00,740012548,18,0,0
22510004000605,23:56:00,23:56:00,740012548,18,0,0
22510004000607,24:16:00,24:16:00,740012548,18,0,0
22510004000779,19:36:00,19:36:00,740012548,18,0,0
22510004000781,19:56:00,19:56:00,740012548,18,0,0
22510004000783,20:16:00,20:16:00,740012548,18,0,0
22510004000785,20:36:00,20:36:00,740012548,18,0,0
22510004000787,20:56:00,20:56:00,740012548,18,0,0
22510004000789,21:16:00,21:16:00,740012548,18,0,0
22510004000791,21:36:00,21:36:00,740012548,18,0,0
22510004000793,21:56:00,21:56:00,740012548,18,0,0
22510004000795,22:16:00,22:16:00,740012548,18,0,0
22510004000797,22:36:00,22:36:00,740012548,18,0,0
22510004000799,22:56:00,22:56:00,740012548,18,0,0
22510004000801,23:16:00,23:16:00,740012548,18,0,0
22510004000803,23:36:00,23:36:00,740012548,18,0,0
22510004000805,23:56:00,23:56:00,740012548,18,0,0
22510004000807,24:16:00,24:16:00,740012548,18,0,0
22510004000809,0:36:00,0:36:00,740012548,18,0,0
22510004000609,0:36:00,0:36:00,740012548,18,0,0
22510004000611,0:57:00,0:57:00,740012548,18,0,0
22510004000613,1:37:00,1:37:00,740012548,18,0,0
22510004000615,2:41:00,2:41:00,740012548,18,0,0
22510004000101,11:57:00,11:57:00,740012548,18,0,0
22510004000103,12:07:00,12:07:00,740012548,18,0,0
22510004000105,12:17:00,12:17:00,740012548,18,0,0
22510004000107,12:27:00,12:27:00,740012548,18,0,0
22510004000109,12:37:00,12:37:00,740012548,18,0,0
22510004000111,12:47:00,12:47:00,740012548,18,0,0
22510004000113,12:57:00,12:57:00,740012548,18,0,0
22510004000115,13:07:00,13:07:00,740012548,18,0,0
22510004000117,13:17:00,13:17:00,740012548,18,0,0
22510004000119,13:27:00,13:27:00,740012548,18,0,0
22510004000121,13:37:00,13:37:00,740012548,18,0,0
22510004000123,13:47:00,13:47:00,740012548,18,0,0
22510004000125,13:57:00,13:57:00,740012548,18,0,0
22510004000127,14:07:00,14:07:00,740012548,18,0,0
22510004000129,14:17:00,14:17:00,740012548,18,0,0
22510004000131,14:27:00,14:27:00,740012548,18,0,0
22510004000133,14:37:00,14:37:00,740012548,18,0,0
22510004000135,14:47:00,14:47:00,740012548,18,0,0
22510004000137,14:57:00,14:57:00,740012548,18,0,0
22510004000139,15:07:00,15:07:00,740012548,18,0,0
22510004000019,7:27:00,7:27:00,740012548,18,0,0
22510004000021,7:37:00,7:37:00,740012548,18,0,0
22510004000023,7:47:00,7:47:00,740012548,18,0,0
22510004000027,7:57:00,7:57:00,740012548,18,0,0
22510004000031,8:07:00,8:07:00,740012548,18,0,0
22510004000035,8:17:00,8:17:00,740012548,18,0,0
22510004000039,8:27:00,8:27:00,740012548,18,0,0
22510004000043,8:37:00,8:37:00,740012548,18,0,0
22510004000047,8:47:00,8:47:00,740012548,18,0,0
22510004000051,8:57:00,8:57:00,740012548,18,0,0
22510004000055,9:07:00,9:07:00,740012548,18,0,0
22510004000059,9:17:00,9:17:00,740012548,18,0,0
22510004000063,9:27:00,9:27:00,740012548,18,0,0
22510004000067,9:37:00,9:37:00,740012548,18,0,0
22510004000071,9:47:00,9:47:00,740012548,18,0,0
22510004000075,9:58:00,9:58:00,740012548,18,0,0
22510004000079,10:07:00,10:07:00,740012548,18,0,0
22510004000081,10:17:00,10:17:00,740012548,18,0,0
22510004000083,10:27:00,10:27:00,740012548,18,0,0
22510004000085,10:37:00,10:37:00,740012548,18,0,0
22510004000087,10:47:00,10:47:00,740012548,18,0,0
22510004000089,10:57:00,10:57:00,740012548,18,0,0
22510004000091,11:07:00,11:07:00,740012548,18,0,0
22510004000093,11:17:00,11:17:00,740012548,18,0,0
22510004000095,11:27:00,11:27:00,740012548,18,0,0
22510004000097,11:37:00,11:37:00,740012548,18,0,0
22510004000099,11:47:00,11:47:00,740012548,18,0,0
22510004000167,17:27:00,17:27:00,740012548,18,0,0
22510004000169,17:37:00,17:37:00,740012548,18,0,0
22510004000171,17:47:00,17:47:00,740012548,18,0,0
22510004000173,17:57:00,17:57:00,740012548,18,0,0
22510004000175,18:07:00,18:07:00,740012548,18,0,0
22510004000177,18:17:00,18:17:00,740012548,18,0,0
22510004000179,18:27:00,18:27:00,740012548,18,0,0
22510004000181,18:37:00,18:37:00,740012548,18,0,0
22510004000183,18:47:00,18:47:00,740012548,18,0,0
22510004000185,18:57:00,18:57:00,740012548,18,0,0
22510004000187,19:07:00,19:07:00,740012548,18,0,0
22510004000141,15:17:00,15:17:00,740012548,18,0,0
22510004000143,15:27:00,15:27:00,740012548,18,0,0
22510004000145,15:37:00,15:37:00,740012548,18,0,0
22510004000147,15:47:00,15:47:00,740012548,18,0,0
22510004000149,15:57:00,15:57:00,740012548,18,0,0
22510004000151,16:07:00,16:07:00,740012548,18,0,0
22510004000153,16:17:00,16:17:00,740012548,18,0,0
22510004000155,16:27:00,16:27:00,740012548,18,0,0
22510004000157,16:37:00,16:37:00,740012548,18,0,0
22510004000159,16:47:00,16:47:00,740012548,18,0,0
22510004000161,16:57:00,16:57:00,740012548,18,0,0
22510004000163,17:07:00,17:07:00,740012548,18,0,0
22510004000165,17:17:00,17:17:00,740012548,18,0,0
22510004000015,6:57:00,6:57:00,740012548,18,0,0
22510004000017,7:12:00,7:12:00,740012548,18,0,0
22510004000013,6:41:00,6:41:00,740012548,18,0,0
22510004000011,6:26:00,6:26:00,740012548,18,0,0
22510004000007,5:56:00,5:56:00,740012548,18,0,0
22510004000009,6:11:00,6:11:00,740012548,18,0,0
22510004000005,5:25:00,5:25:00,740012548,18,0,0
22510004000189,19:16:00,19:16:00,740012548,18,0,0
22510004000502,4:39:00,4:39:00,740012548,12,0,0
22510004000504,5:09:00,5:09:00,740012548,12,0,0
22510004000506,5:39:00,5:39:00,740012548,12,0,0
22510004000508,6:09:00,6:09:00,740012548,12,0,0
22510004000702,4:39:00,4:39:00,740012548,12,0,0
22510004000704,5:09:00,5:09:00,740012548,12,0,0
22510004000706,5:39:00,5:39:00,740012548,12,0,0
22510004000708,6:09:00,6:09:00,740012548,12,0,0
22510004000002,4:38:00,4:38:00,740012548,12,0,0
22510004000004,5:08:00,5:08:00,740012548,12,0,0
22510004000006,5:38:00,5:38:00,740012548,12,0,0
22510004000172,18:17:00,18:17:00,740012548,18,0,0
22510004000174,18:27:00,18:27:00,740012548,18,0,0
22510004000176,18:37:00,18:37:00,740012548,18,0,0
22510004000178,18:47:00,18:47:00,740012548,18,0,0
22510004000180,18:57:00,18:57:00,740012548,18,0,0
22510004000182,19:07:00,19:07:00,740012548,18,0,0
22510004000184,19:17:00,19:17:00,740012548,18,0,0
22510004000186,19:32:00,19:32:00,740012548,18,0,0
22510004000188,19:47:00,19:47:00,740012548,18,0,0
22510004000190,20:02:00,20:02:00,740012548,18,0,0
22510004000192,20:17:00,20:17:00,740012548,18,0,0
22510004000194,20:32:00,20:32:00,740012548,18,0,0
22510004000196,20:47:00,20:47:00,740012548,18,0,0
22510004000198,21:02:00,21:02:00,740012548,18,0,0
22510004000200,21:17:00,21:17:00,740012548,18,0,0
22510004000202,21:32:00,21:32:00,740012548,18,0,0
22510004000204,21:47:00,21:47:00,740012548,18,0,0
22510004000206,22:02:00,22:02:00,740012548,18,0,0
22510004000208,22:20:00,22:20:00,740012548,18,0,0
22510004000210,22:35:00,22:35:00,740012548,18,0,0
22510004000212,23:00:00,23:00:00,740012548,18,0,0
22510004000214,23:20:00,23:20:00,740012548,18,0,0
22510004000216,23:35:00,23:35:00,740012548,18,0,0
22510004000220,0:20:00,0:20:00,740012548,18,0,0
22510004000224,0:45:00,0:45:00,740012548,18,0,0
22510004000228,1:40:00,1:40:00,740012548,18,0,0
22510004000232,2:20:00,2:20:00,740012548,18,0,0
22510004000010,6:30:00,6:30:00,740012548,18,0,0
22510004000218,24:00:00,24:00:00,740012548,18,0,0
22510004000008,6:15:00,6:15:00,740012548,18,0,0
22510004000812,0:44:00,0:44:00,740012548,18,0,0
22510004000814,1:39:00,1:39:00,740012548,18,0,0
